영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Radin Inten II International Airport,라딘 인텐 II 국제공항,TKG,WILL
Radom Airport,라돔 공항,RDO,EPRA
RAF Saint Mawgan,세인트 마건 공군기지,NQY,EGHQ
Rafael Nunez Airport,라파엘 누네즈 공항,CTG,SKCG
Rafha Domestic Airport,라프하 국내공항,RAH,OERF
Rafsanjan Airport,라프샌전 공항,RJN,OIKR
Raglan Airport,레글런 공항,BHS,YBTH
Raipur Airport,라이푸르 공항,RPR,VARP
Raivavae Airport ,라이바바에 공항,RVV,NTAV
Raja Bhoj,라자보 공항 ,BHO,VABP
Raja Sansi Airport,라자 산시 공항,ATQ,VIAR
Rajahmundry Airport,라자문드리 공항,RJA,VORY
Rajiv Gandhi International Airport ,라지브간디 국제공항 ,HYD,VOHS
Rajkot Civil Airport,라지코트 시빌 공항,RAJ,VARK
Raleigh-Durham International Airport,롤리 더럼 국제공항,RDU,KRDU
Ramenskoye Airport,Ramenskoye 공항,ZIA,UUBW
Ramon Airport,라몬 국제공항,ETM,LLER
Ramon Villeda Morales International Airport,라몬 빌레다 모랄레스 공항,SAP,MHLM
Ramsar Airport,람사 공항,RZR,OINR
Rangiroa Airport,랑지로아 공항,RGI,NTTG
Ranong Airport,르농 공항,UNN,VTSR
Raroia Airport,라로아 공항,RRR,NTKO
Rarotonga International Airport,라로통가 국제공항,RAR,NCRG
Ras Al Khaimah International Airport,라스알카이마 국제공항,RKT,OMRK
Rasht Airport,라슈트 공항,RAS,OIGG
Reao Island Airport,레아오 아일랜드 공항,REA,NTGE
Rebun Airport,레분 공항,RBJ,RJCR
Redding Municipal Airport,레딩 시립 공항,RDD,KRDD
Regina International Airport,레지나 국제공항,YQR,CYQR
Region de Murcia International Airport,무르시아 지역 국제공항,RMU,LEMI
Reims Champagne Airport,랭스 샴페인 공항,RHE,LFSR
Renaison Airport,르네쏭 공항,RNE,LFLO
Reno / Taho International Airport,리노 타호 국제공항,RNO,KRNO
Resistencia International Airport,레시스텐시아 국제공항,RES,SARE
Reus Airport,레우스 공항,REU,LERS
Reykjavik Airport,레이캬비크 공항,RKV,BIRK
Rhein-Ruhr Airport,라인 루르 공항 ,DUS,EDDL
Richmond International Airport,리치먼드 국제공항,RIC,KRIC
Rickenbacker Airport,리켄배커 공항,LCK,KLCK
Riga International Airport,리가 국제공항,RIX,EVRA
Rijeka Airport,리예카 공항,RJK,LDRI
Rimatara Airport,리마타라 공항,RMT,NTAM
Rio de Janeiro International Airport ,리우데자네이루 국제공항 ,GIG,SBGL
Rio Gallegos Internacional Airport ,리오가제고스 공항 ,RGL,SAWG
Rishiri Airport,리시리 공항,RIS,RJER
Rivesaltes Airport,리베살테 공항,PGF,LFMP
Rivne Airport,로브노 공항,RWN,UKLR
Rizhao Shanzihe Airport,일조 Shanzihe 공항,RIZ,ZSRZ
Roanoke Regional Airport / Woodrum Field,로어노크 지역공항 ,ROA,KROA
Robin Hood Airport Doncaster Sheffield,로빈훗 돈캐스터 쉐필드,DSA,EGCN
Rockhampton Airport,록햄프턴 공항,ROK,YBRK
Rodriguez Ballon Airport,로드리게즈 발롱 공항,AQP,SPQU
Roervik Airport,뢰르비크 공항,RVK,ENRM
Rogue Valley International-Medford Airport,로그 밸리 국제공항,MFR,KMFR
Rohnerville,Rohnerville 공항,XXY,KFOT
Roi Et Airport ,로이 엣 공항,ROI,VTUV
Roland Garros Airport,롤런드 개로스 공항,RUN,FMEE
Roma Airport,로마 공항,RMA,YROM
Ronald Reagan National Airport,로널드 레이건 위싱턴 내셔널 공항,DCA,KDCA
Ronaldsway Airport,로널즈웨이 공항,IOM,EGNS
Rooikop Airport,루우이콥 공항 ,WVB,FYWB
Roros Airport,뢰로스 공항,RRS,ENRO
Roschino Airport,로치노 공항,TJM,USTR
Rosh Pina Airport ,로쉬 피나 공항 ,RPN,LLIB
Roskilde Airport,로스카일데 공항,RKE,EKRK
Rossvold Airport ,뢰스볼드 공항,MQN,ENRA
Rostov-na-Donu Airport,로스토프나도누 공항,ROV,URRR
Rota International Airport,로타 국제공항,ROP,PGRO
Rotterdam Airport,로테르담 공항,RTM,EHRD
Roumanires Airport,루마네레 공항,EGC,LFBE
Rovaniemi Airport,로바니미 공항,RVN,EFRO
Rowriah Airport,로우리앗 공항,JRH,VEJT
Roxas City Airport,록사 시티 공항,RXS,RPVR
Ruben Berta Airport,루흐벤 베르타 공항,URG,SBUG
Rudra Mata Airport,룬드라 마타 공항,BHJ,VABJ
Rundu Airport,룬두 공항,NDU,FYRU
Ruoqiang Loulan Airport,루오 창 루란 공항,RQA,ZWRQ
Rurutu Airport,루루투 공항,RUR,NTAR
Ruzyne Airport,루이즈네 공항,PRG,LKPR
Sabadell Airport,사바델공항,QSA,LELL
Sabiha Gokcen International Airport,사비하 곡센 공항,SAW,LTFJ
Sabzevar Airport,Sabzevar 공항,AFZ,OIMS
Sacheon Airport,사천 공항,HIN,RKPS
Sacramento Executive Airport,새크라멘토 익제큐티브 공항,SAC,KSAC
Sacramento International Airport,새크라멘토 국제공항,SMF,KSMF
Sadiq Abubakar III International Airport,다식 아브바카 더 서드 국제공항,SKO,DNSO
Sado Airport,사도 공항,SDS,RJSD
Saga Airport,사가 공항,HSG,RJFS
Sahand Airport,사한드 공항,ACP,OITM
Sahnewal Airport,사네왈 공항,LUH,VILD
Saint Agnant Airport,생 타그낭 공항,RCO,LFDN
Saint Etienne - Boutheon Airport,상악타엔 부데온 공항,EBU,LFMH
Saint Helena Airport,세인트 헬레나 공항,HLE,FHSH
Saint Jacques Airport,생 쟈크 공항,RNS,LFRN
Saint John Airport,세인트존 공항,YSJ,CYSJ
Saint Louis Airport,세인트루이스 공항,XLS,GOSS
Saint Pierre Airport,생 피에르 공항,FSP,LFVP
Saint-Barthelemy Airport,산바드레미 공항,SBH,TFFJ
Sainte Catherine Airport,생테 캐트린 공항,CLY,LFKC
Saint-Geoirs Airport ,생 쥐아즈 공항,GNB,LFLS
Saint-Laurent-du-Maroni Airport,생로랑뒤마로니 공항,LDX,SOOM
Saint-Yan Airport,세인트 얀 공항,SYT,LFLN
Saipan International Airport,사이판 섬 국제공항,SPN,PGSN
Sais Airport ,사이스 공항,FEZ,GMFF
Sakon Nakhon Airport,사콘나콘 공항,SNO,VTUI
Salalah Airport,살라라 공항,SLL,OOSA
Salam Airport,살람 공항,MVR,FKKL
Salazar Airport,살라자르국제공항,TMS,FPST
Salcea Airport,살샤 공항,SCV,LRSV
Sale Airport,살레 공항 ,RBA,GMME
Salem Airport,세일럼 공항,SXV,VOSM
Salerno Airport ,살레르노 공항,QSR,LIRI
Salgado Filho Airport,살라도 핀호 공항,POA,SBPA
Salt Lake City International Airport,솔트레이크 시티 국제공항,SLC,KSLC
Salvaza Airport,살바자 공항,CCF,LFMK
Sam Ratulangi International Airport,삼 라투라기 국제공항,MDC,WAMM
Samana El Catey International Airport,사마냐 엘카티 국제공항,AZS,MDCY
Samarkand Airport,사마르칸트 공항,SKD,UTSS
Sambre Airport,삼브르 공항,IXG,VABM
Samos International Airport ,사모스 국제공항 ,SMI,LGSM
Samui Airport,사무이 공항,USM,VTSM
San Antonio International Airport,샌안토니오 국제공항,SAT,KSAT
San Carlos De Bariloche International Airport,산카를로스데바릴로체 국제공항,BRC,SAZS
San Diego International Airport ,샌디에이고 국제공항 ,SAN,KSAN
San Fernando International Airport,산페르난도 국제공항,FDO,SADF
San Francisco Airport,샌프란시스코 공항,SQD,SPSF
San Francisco International Airport,산프란시스코 국제공항,SFO,KSFO
San Javier Airport,산자비에 공항,MJV,LELC
San Jeronimo Airport,산 제로니모 공항,MTR,SKMR
San Jose Airport,산 호세 공항,SJI,RPUH
San Jose del Guaviare Airport,산호세델구아비아로 공항,SJE,SKSJ
San Juan Airport,산후안 공항,UAQ,SANU
San Luis Airport,산루이스 공항,IPI,SKIP
San Luis Airport,산루이스 공항,LUQ,SAOU
San Luis County Regional Airport,산 루이스 오비스포 카운티 지역공항,SBP,KSBP
San Nicolas Airport,산 니콜라스 공항,RIM,SPLN
San Sebastian Airport,산세바스티안 공항,EAS,LESO
San Vicente Airport,산 비센테 공항,SWL,RPSV
Sanandaj Airport,사난다 공항,SDG,OICS
Sandakan Airport,산다칸 공항,SDK,WBKS
Sandane Airport ,산다네 공항,SDN,ENSD
Sandefjord Airport,사네피오르 공항,TRF,ENTO
Sanford International Airport,샌포드 국제공항,SFB,KSFB
Sanganeer Airport,상그니어 공항,JAI,VIJP
Sanga-Sanga Airport,상가-상가 공항,TWT,RPMN
Sangster International Airport,상스터 국제공항,MBJ,MKJS
Sania Ramel Airport,사니아 라멜 공항,TTU,GMTN
Sanlıurfa GAP Airport,산리우르파 GAP 공항,GNY,LTCS
Sanming Shaxian Airport,Sanming Shaxian 공항,SQJ,ZSSM
Sant Egidio Airport,산트 에디지오 공항,PEG,LIRZ
Santa Barbara Municipal Airport,산타바바라 시공항,SBA,KSBA
Santa Genoveva Airport,산타 제노베바 공항,GYN,SBGO
Santa Isabel Airport,산타 이사벨 공항,SSG,FGSL
Santa Maria Airport,산타마리아 공항,AJU,SBAR
Santa Maria Public Airport ,산타마리아 퍼블릭 공항,SMX,KSMX
Santa Rosa Airport,산타로사 공항,RSA,SAZR
Santaguida Airport,산타구이다 공항,MZL,SKMZ
Santander Airport,산탄데 공항,SDR,LEXJ
Santarem-Maestro Wilson Fonseca Airport,Santarem-Maestro 윌슨폰세카 공항,STM,SBSN
Santiago de Compostela Airport - Lavacolla ,산티아고 공항,SCQ,LEST
Santiago Municipal Airport,산티아고 시공항,STI,MDST
Santiago Perez Airport,산티아고 페레즈 공항,AUC,SKUC
Santiago Vila Airport,산티아고 빌랴 공항,GIR,SKGI
Santorini National Airport,산토리니 내셔널 공항,JTR,LGSR
Santos Dumont Regional Airport,산투스 뒤몬트 지역공항,SDU,SBRJ
Sanya Phonix International Airport ,산야 피닉스 국제공항 ,SYX,ZGSY
Sao Filipe Airport,상 필리페 공항,SFL,GVSF
Sao Jorge Airport,상 호르헤 공항,SJZ,LPSJ
Sao Jose do Rio Preto Airport,사오호세도리오프레토 공항,SJP,SBSR
Sao Jose dos Campos Regional Airport,사오호세도스캄포스 지역공항,SJK,SBSJ
Sao Pedro Airport,산페드로 공항,VXE,GVSV
Saransk Airport,사란스크 공항,SKX,UWPS
Sarasota-Bradenton International Airport,새러소타 브레이든턴 국제공항,SRQ,KSRQ
Sardar Vallabhbhai Patel International Airport,사다르 발랍하이 파텔 국제공항 ,AMD,VAAH
Saskatoon / John G. Diefenbaker International Airport,사스카툰 존 G. 디이픈베이커 국제공항,YXE,CYXE
Satu Mare International Airport,사투마레 국제공항,SUJ,LRSM
Satwari Airport,사트와리 공항,IXJ,VIJU
Saul Airport,사울 공항,XAU,SOOS
Saumur Saint-Florent Airport,소뮈르 생 플로랑 공항,XSU,LFOD
Savannah / Hilton Head Airport,서배너 힐튼 헤드 공항,SAV,KSAV
Savonlinna Airport,사본리나 공항,SVL,EFSA
Sayak Airport,Sayak 공항,IAO,RPNS
Scandinavian Mountains Airport,스칸디나비아 산맥 공항,SCR,ESKS
Scatsta Airport,스캐스타 공항,SCS,EGPM
Schiphol Airport,스키폴 공항,AMS,EHAM
Schoenefeld International Airport ,쉐너펠트 국제공항 ,SXF,EDDB
Sde Dov Airport ,시드 도브 공항 ,SDV,LLSD
Seattle Tacoma International Airport,시애틀 타코마 국제공항,SEA,KSEA
Seeb International Airport,시이브 국제공항,MCT,OOMS
Sehwan Sharif Airport,스환 쉐리프 공항,SYW,OPSN
Selebi-Phikwe Airport,셀레비-피크베 지역공항,PKW,FBSP
Semnan Municipal Airport,셈난 시립 공항,SNX,OIIS
Senador Petronio Portella Airport,세나됴 페트로니오 포르텔라 공항,THE,SBTE
Sendai Airport,센다이 공항,SDJ,RJSS
Senou Airport,세노우 공항,BKO,GABS
Sepinggan International Airport,세펭간 국제공항,BPN,WALL
Servel Airport,세르벨 공항,LAI,LFRO
Sevilla Airport,세빌리아 산 파블로 공항,SVQ,LEZL
Seychelles International Airport,세이셸 국제공항,SEZ,FSIA
Shache Airport,샤시 공항,QSZ,ZWSC
Shahid Ashrafi Esfahani Airport,사히드 아쉬라피 에스파하니 공항,KSH,OICC
Shahid Sadooghi Airport,사히드 사두히 공항,AZD,OIYY
Shahrekord Airport,샤레크코드 공항,CQD,OIFS
Shahroud Airport,Shahroud 공항,RUD,OIMJ
Shaikh Zayed International Airport,쉐이크 제에드 국제공항,RYK,OPRK
Shannon International Airport,섀넌 국제공항,SNN,EINN
Shantou Airport,산터우 공항,SWA,ZGOW
Shaoyang Wugang Airport,Shaoyang Wugang Airport,WGN,ZGSY
Sharjah International Airport,샤르자 /샤져 국제공항,SHJ,OMSJ
Sharorah Domestic Airport ,샤오러 국내공항,SHW,OESH
Shennongjia Hongping Airport,Shennongjia Hongping Airport,HPG,ZHSN
Shenyang Taoxian International Airport,선양 타오시안 국제공항,SHE,ZYTX
Shenzhen Baoan International Airport,쉔젠 바오안 국제공항,SZX,ZGSZ
Sheremetyevo International Airport,세레메티에포 국제공항,SVO,UUEE
Shigatse Peace Airport,시가 트 평화 공항,RKZ,ZURK
Shihezi Huayuan Airport,시하쯔 화원 공항,SHF,ZWHZ
Shillong Airport ,실롱 공항,SHL,VEBI
Shimla Airport,심라 공항,SLV,VISM
Shimojishima Airport,시모지시마 공항,SHI,RORS
Shirak International Airport,쉬락 국제공항,LWN,UDSG
Shiraz International Airport ,쉬라즈 국제공항 ,SYZ,OISS
Shirdi Airport,셔디 국제공항,SAG,VASD
Shively Airport,샤이블리 공항,SAA,KSAA
Shiyan Wudangshan Airport,시얀 우당산 공항,WDS,ZHSY
Shizuoka Airport,시즈오카 공항,FSZ,RJNS
Sholapur Airport,솔라푸르 공항,SSE,VASL
Shonai Airport,쇼나이 공항,SYO,RJSY
Shoreham Airport ,쇼햄 공항,ESH,EGKA
Shpakovskoye Airport,쉬파코프스키에 공항,STW,URMT
Shreveport Regional Airport,슈리브포트 공항,SHV,KSHV
Sialkot International Airport,시알 코트 국제 공항,SKT,OPST
Siauliai International Airport,시아울리에 국제공항,SQQ,EYSA
Sibiu International Airport,시비우 국제공항,SBZ,LRSB
Sibu Airport,시부 공항,SBW,WBGS
Sibulan Airport,시불란 공항,DGT,RPVD
Sierra Maestra Airport,시에라 마에스트라 공항,MZO,MUMZ
Sihanoukville International Airport,시하눅빌 국제 공항,KOS,VDSV
Siirt Airport,시이르트 공항,SXZ,LTCL
Silangit Airport,Silangit 공항,DTB,WIMN
Silvio Pettirossi Airport,실비오 페트로씨 공항,ASU,SGAS
Simao Airport,쓰마오 공항,SYM,ZPSM
Simferopol Airport,심페로폴 공항,SIP,UKFF
Simon Bolivar Airport,시몬 볼리바 공항,SMR,SKSM
Simon Bolivar International Airport,시몬 볼리바 국제공항,GYE,SEGU
Simon Bolivar International Airport ,시몬 볼리바 국제공항 ,CCS,SVMI
Simpang Tiga Airport ,심팡 티가 공항 ,PKU,WIBB
Singerbhil Airport,싱거힐 공항,IXA,VEAT
Sinop Airport,시놉 공항,NOP,LTCM
Sion Airport,시온 공항,SIR,LSGS
Sioux Falls Regional Airport ,수폴스 지역공항 ,FSD,KFSD
Sioux Gateway Airport,슈 게이트웨이 공항,SUX,KSUX
Sir Bani Yas Airport,서바니야스 공항,XSB,OMBY
Sir Seewoosagur Ramgoolam International Airport,서 씨우사구 람굴람 국제공항,MRU,FIMP
Sir Seretse Khama International Airport,서 서츠 카마 국제공항,GBE,FBSK
Sirjan Airport,시르잔 공항,SYJ,OIKY
Sırnak Airport,Sırnak 공항,NKT,LTCV
Sitia Public Airport,시티아 퍼블릭 공항,JSH,LGST
Sivas Airport,시바스 공항,VAS,LTAR
Skagen Airport,스카젠 공항,SKN,ENSK
Skardu Airport,스카르두 공항,KDU,OPSD
Skavsta Airport,스카프스타 공항,NYO,ESKN
Skelleftea Airport,셸레프테오 공항,SFT,ESNS
Skien Airport ,시엔 공항,SKE,ENSN
Skyros Island National Airport,스키로스 아일랜드 내셔널 공항,SKU,LGSY
Sliac Airport,슬라이치 공항,SLD,LZSL
Snilow Airport,스닐로우 공항,LWO,UKLL
Soekarno-Hatta International Airport,소엑카르노 하타 국제공항,CGK,WIII
Soellingen Airport,쇨링젠 공항,FKB,EDSB
Sofia Airport ,소피아 공항,SOF,LBSF
Sohag International Airport,Sohag 국제공항,HMB,HEMK
Sohar Airport,소하르 공항,OHS,OOSH
Sokol Airport,수코이 공항,GDX,UHMM
Sola Airport,솔라 공항,SVG,ENZV
Son Bonet Aerodrome,손 보넷 비행장,SBO,LESB
Sonderborg Airport,손더보리 공항,SGD,EKSB
Sonoma County Airport,새노마 카운티 공항,STS,KSTS
Sorkjosen Airport,쇠르쿄젠 공항,SOJ,ENSR
Soummam Airport,수우맘 공항,BJA,DAAE
South Bend Regional Airport,사우스벤드 공항,SBN,KSBN
Southampton International Airport ,사우샘프턴 국제공항,SOU,EGHI
Southend Airport,사우스엔드 시공항,SEN,EGMC
Southwest Florida Regional Airport,사우스웨스트 플로리다 지역공항,RSW,KRSW
Southwest Georgia Regional Airport,사우스웨스트 조지아 공항,ABY,KABY
Split Airport,스플리트 공항,SPU,LDSP
Spokane International Airport,스포캔 국제공항,GEG,KGEG
Spring Island airport,스프링 아일랜드 공항,YSQ,
Springfield-Branson National Airport,스프링필드 브랜슨 공항,SGF,KSGF
Springhill Airport,스프링힐 공항,OAG,YORG
Srinagar Air Force Base,스리나가르 공군기지,SXR,VISR
St Gatien Airport,생 가티엥 공항,DOL,LFRG
St Marys Airport,세인트 메리즈 공항,ISC,EGHE
St Nazaire Montoir Airport,생나제르 몽트와 공항,SNR,LFRZ
St Petersburg Clearwater International Airport,세인트 피터스버그 국제공항,PIE,KPIE
St. Gallen-Altenrhein Airport,세인트 갈런 알테르하임 공항,ACH,LSZR
St. Johns International Airport,산존스 공항,YYT,CYYT
St. Paul the Apostle Airport ,생 폴 더 아포스틀 공항 ,OHD,LWOH
Standiford Field Airport,스탠디포드 필드 공항,SDF,KSDF
Stansted Airport,스텐스테드 공항,STN,EGSS
Stewart Airport,스튜어트 공항,SWF,KSWF
Stockton Metro Airport,스탄턴 메트로 공항,SCK,KSCK
Stokka Airport,스토카 공항,SSJ,ENST
Stord Airport ,스토르드 공항 ,RET,ENRS
"Stord Airport, Sorstokken",스토르드 공항,SRP,ENSO
Stornoway Airport,스토노와 공항,SYY,EGPO
Strezhevoy Airport,스트레체보이 공항,SWT,UNSS
Strigino Airport,스트리기노 공항,GOJ,UWGG
Sturup Airport,스투럽 공항,MMX,ESMS
Subic Bay International Airport,수빅만 국제공항,SFS,RPLB
Suboficial Aytes Germano Airport,소보피셜 에이트 제르마노 공항,AFA,SAMR
Sud Corse Airport,쉬 코세 공항,FSC,LFKF
Sui Airport,수이 공항,SUL,OPSU
Sukhothai Airport,수코타이 공항,THS,VTPO
Sukkur Airport,수쿠르 공항,SKZ,OPSK
Suleyman Demirel Airport,술래이만 더미럴 공항,ISE,LTFC
Sultan Abdul Aziz Shah Airport,술탄 압둘 아지즈 샤 공항,SZB,WMSA
Sultan Abdul Halim Airport,술탄 압둘 하림 공항,AOR,WMKA
Sultan Azlan Shah Airport,술탄 아즐란 샤 공항,IPH,WMKI
Sultan Ismail International Airport,술탄 이스마일 국제공항,JHB,WMKJ
Sultan Mahmood Airport,술탄 마호메드 공항,TGG,WMKN
Sultan Mahmud Badaruddin II Airport,술탄 무하무드 바다루딘 II 공항,PLM,WIPP
Sultan Taha Syarifudin Airport,술탄 나야 시아리푸딘 공항,DJB,WIPA
Sumburgh Airport,섬버그 공항,LSI,EGPB
Sundsvall-Timra Airport,순스발 티므루 ,SDL,ESNN
Supadio Airport,수팔디오 공항,PNK,WIOO
Sur Reina Sofia Airport,쉬흐 라이나 소피아 공항,TFS,GCTS
Surat Airport,수라트 공항,STV,VASU
Surat Thani Airport,수랏타니 공항,URT,VTSB
Surgut Airport,수르것 공항,SGC,USRR
Surigao Airport,수리가오 공항,SUG,RPMS
Suvarnabhumi International Airport ,수완나푸미 국제공항 ,BKK,VTBS
Svalbard Airport,스발바그드 공항,LYR,ENSB
Sveg Airport,스베그 공항,EVG,ESND
Syamsudin Noor Airport,시암수딘 누어 공항,BDJ,WAOO
Syktyvkar Airport,식티프카르 공항,SCW,UUYY
Szczytno-Szymany International Airport,시트노 사미니 국제공항,SZY,EPSY
T.F. Green Airport ,T.F 그린 스테이트 공항 ,PVD,KPVD
Taba International Airport,타바 국제공항,TCP,HETB
Tabarka 7 November Airport,타바카 7 노벰버 공항,TBJ,DTKA
Tabas Airport,터바스 공항,TCX,OIMT
Tabatinga International Airport,타바팅가 국제공항,TBT,SBTT
Tablas Airport ,타블라스 공항,TBH,RPVU
Tabriz International Airport,타브리즈 국제공항,TBZ,OITT
Tabuk Regional Airport,타부크 공항,TUU,OETB
Tagbilaran City Airport,탁빌라란 공항,TAG,RPVT
Tahoua Airport,타후아 공항,THZ,DRRT
Taichung Airport,타이중 공항,RMQ,RCMQ
Taif Regional Airport,타이프 지역공항,TIF,OETF
Tainan Airport,타이난 공항,TNN,RCNN
Taipei Songshan Airport,타이베이 송산 공항,TSA,RCSS
Taitung Airport,대동 공항,TTT,RCFN
Taiwan Taoyuan International Airport ,타이완 타오유완 국제공항 ,TPE,RCTP
Taiyuan Wusu Airport,타이위안 우수 공항,TYN,ZBYN
Tajima Airport,타지마 공항,TJH,RJBT
Tak Airport,탁 공항,TKT,VTPT
Takamatsu Airport,다카마쓰 공항,TAK,RJOT
Takapoto Airport,타카포토 공항,TKP,NTGT
Takaroa Airport,타카로아 공항,TKX,NTKR
Takume Airport,타쿠메 공항,TJN,NTKM
Talagi Airport,탈라기 공항,ARH,ULAA
Tallahassee Regional Airport,탤러해시 지역공항,TLH,KTLH
Tamanrasset Airport,타만라셋 공항,TMR,DAAT
Tambacounda Airport,탐부컨다 공항,TUD,GOTT
Tambov Donskoye Airport,탐보브 도스코예 공항,TBW,UUOT
Tampa International Airport,탬파 국제공항,TPA,KTPA
Tampere-Pirkkala Airport,탐페레 피칼라 공항,TMP,EFTP
Tamuin National Airport,타무이누 국립공항,TSL,MMTN
Tamworth Airport,탬워스 공항,TMW,YSTW
Tan Son Nhat Airport,탄 손 낫 공항 ,SGN,VVTS
Tancredo Neves International Airport ,탄크레도 니브스 국제공항 ,CNF,SBCF
Tandag Airport,탄다그 공항,TDG,RPWW
Tanegashima Airport,다네가시마 공항,TNE,RJFG
Tanga Airport,탕가 공항,TGT,HTTG
Tangshan Sannuhe Airport,당산 산누허 공항,TVS,ZBTS
Tapachula International Airport,타파출라 국제공항,TAP,MMTP
Tarama Airport,타라마 공항,TRA,RORT
Taranto-Grottaglie ,타란토 그로타글리에 마르셀로 아를로타 공항 ,TAR,LIBG
Tarbes-Ossun-Lourdes Airport,타르부 우순 루르드 국제공항,LDE,LFBT
Targu Mures International Airport,티구루 무레슈 국제공항,TGM,LRTM
Tashkent International Airport,타슈켄트 국제 공항,TAS,UTTT
Tatakoto Airport,타타코토 공항,TKV,NTGO
Tawau International Airport,타와무 국제공항,TWU,WBKW
Tbilisi International Airport ,트빌리시 국제공항 ,TBS,UGTB
Tebessa Airport,테싸 공항,TEE,DABS
Ted Stevens International Airport ,테드 스티븐스 국제공항 ,ANC,PANC
Tefe Airport,테페 공항,TFF,SBTF
Tegel International Airport,테겔 국제공항,TXL,EDDT
Tehuacan Airport,테후카 공항,TCN,MMHC
Temae Airport,테마에 공항,MOZ,NTTM
Tenerife North Airport ,노르테 로스 로데오스 공항,TFN,GCXO
Tengchong Tuofeng Airport,텅충 투공 공항,TCZ,ZUTC
Tepual Airport,테후알 공항,PMC,SCTE
Termas de Rio Hondo Airport,라스 테르마스 공항,RHD,SANR
Termez Airport,테르메스 공항,TMJ,UTST
Teterboro Airport,테터보로 공항,TEB,KTEB
Texarkana Regional Airport,텍사카나 지역공항,TXK,KTXK
Tezpur Airport ,테즈퍼 공항 ,TEZ,VETZ
Thalerhof Airport,탤러호프 공항,GRZ,LOWG
The Blaye Airport,더 블라예 공항,ACI,EGJA
The Eastern Iowa Airport ,이스턴 아이오와 공항 ,CID,KCID
Thessaloniki International Airport ,테살로니키 국제공항 ,SKG,LGTS
Thiruvananthapuram International Airport,트리반드럼 국제공항,TRV,VOTV
Thisted Airport,티스테드 공항,TED,EKTS
Tho Xuan Airport,토사안 공항,THD,VVTX
Tianjin Binhai International Airport,톈진 빈하이 국제공항,TSN,ZBTJ
Tianshui Maijishan Airport,Tianshui Maijishan Airport,THQ,ZLTS
Tijuana International Airport ,티후아나 국제공항 ,TIJ,MMTJ
Tikehau Airport,타케하우 공항,TIH,NTGC
Tiksi Airport,틱시 공항,IKS,UEST
Timbiqui Airport,Timbiqui 공항,TBD,SKMB
Timimoun Airport,티미먼 공항,TMX,DAUT
Timisoara International Airport,티미쇼아라 트라이언 부이아 국제공항,TSR,LRTR
Tindouf Airport,틴도프 공항,TIN,DAOF
Tingo Maria Airport,팅고 마리아 공항,TGI,SPGM
Tinian International Airport,티니안 국제공항,TIQ,PGWT
Tioman Airport,티오만 공항,TOD,WMBT
Tirana Rinas Airport,티라나 리냐스 공항 ,TIA,LATI
Tiree Airport,타이리 공항,TRE,EGPU
Tirstrup Airport,터스럽 공항,AAR,EKAH
Tiruchirapalli Civil Airport,티룬치라팔리 시빌 공항,TRZ,VOTR
Tirupati Airport,티루파티 공항,TIR,VOTP
Tito Menniti Airport,티토 멘니티 공항,REG,LICR
Tivat Airport,티밧 공항,TIV,LYTV
Tjilik Riwut Airport,질릭 리우트 공항,PKY,WAGG
Tnte Gral Gerardo Perez Pinedo Airport,피네도 공항,AYX,SPAY
Toamasina Airport,토아마시나 공항,TMM,FMMT
Tocache Airport,토마쉬 공항,TCG,SPCH
Tocumen lnternational Airport ,토쿠먼 국제 공항 ,PTY,MPTO
Tokat Airport,토캇 공항,TJK,LTAW
Tokunoshima Airport,도쿠노시마 공항,TKN,RJKN
Tokushima Airport,토쿠시마 공항,TKS,RJOS
Tokyo International Airport ,동경국제공항 ,HND,RJTT
Toledo Express Airport,톨레도 익스프레스 공항,TOL,KTOL
Toncontin Airport,통꼰틴 공항,TGU,MHTG
Tonghua Liuhe Airport,퉁화 류헤 공항,TNH,ZYTN
Tongliao Airport,퉁랴오 공항,TGO,ZBTL
Tongren Daxing Airport ,퉁런 닥싱 공항,TEN,ZUTR
Toowoomba Wellcamp Airport,터움바웰캄프 공항,WTB,YBWW
Toronto Lester B. Pearson International Airport,피어슨 국제공항,YYZ,CYYZ
Torrejon Airport,토레존 공군기지,TOJ,LETO
Torsby Airport,Torsby 공항,TYF,ESST
Totegegie Airport,톳트제리 공항,GMR,NTGJ
Tottori Airport,돗토리 /도토리 공항,TTJ,RJOR
Touat Airport,투앗 공항,AZR,DAUA
Toulon Hyeres Airport ,툴롱 예르 공항 ,TLN,LFTH
Toulouse-Blagnac Airport,툴루즈-블라 냐크 공항,TLS ,LFBO
Tours Val de Loire Airport,투르 발 드 르와 공항,TUF,LFOT
Toussus-le-Noble Airport,투수스르보블 르 노블 공항,TNF,LFPN
Townsville International Airport,타운스빌 국제공항,TSV,YBTL
Toyama Airport,토하마 /토이아마 공항,TOY,RJNT
Tra Noc Airport,트라 녹 공항,VCA,VVCT
Trabzon Airport,트라브존 공항,TZX,LTCG
Trang Airport,트랑 공항,TST,VTST
Trat Airport,뜨랏 공항,TDX,VTBO
Tres De Mayo Airport,트레즈 데 마요 공항,PUU,SKAS
Treviso Airport ,트레비소 공항,TSF,LIPH
Tribhuvan Airport,트리부후반 공항,KTM,VNKT
Tri-Cities Airport,트라이시티즈 공항,PSC,KPSC
