영문공항명,한글공항명,공항코드1(IATA),공항코드2(ICAO)
Chengdu Shuangliu International Airport,청두 슈앙리우 국제공항,CTU,ZUUU
Chennai International Airport,첸나이 국제공항,MAA,VOMM
Cheongju International Airport,청주 국제공항,CJJ,RKTU
Chernivtsi Airport,체르노브시 공항,CWC,UKLN
Chertovitskoye Airport,체르토비츠코예 공항,VOZ,UUOO
Chetumal International Airport,체투말 국제공항,CTM,MMCM
Chhatrapati Shivaji International Airport,채해트라피티 시버지 국제공항,BOM,VABB
Chiang Mai International Airport,치앙마이 국제공항,CNX,VTCC
Chiang Rai International Airport,치앙라이 국제공항,CEI,VTCT
Chiayi Airport,자이 공항,CYI,RCKU
Chicago Midway Airport,시카고 미드웨이 공항,MDW,KMDW
Chicago Rockford Airport,시카고 록퍼드 공항,RFD,KRFD
Chifeng Airport,츠펑 공항,CIF,ZBCF
Chikkalthana Airport,티칼타나 공항,IXU,VAAU
Chimoio Airport,치모이오 공항,VPY,FQCH
Chinggis Khaan International Airport,칭지스 칸 국제공항,ULN,ZMUB
Chisinau International Airport,키시나우 국제공항,KIV,LUKK
Chitose Airport,치토세 공항,CTS,RJCC
Chitral Airport,치트랄 공항,CJL,OPCH
Chizhou Jiuhuashan Airport,Chizhou Jiuhuashan 공항,JUH,ZSJH
Chlef International Airport,클레프 국제공항,CFK,DAOI
Cholet Le Pontreau Airport,쵸렛 르 폰트로 공항,CET,LFOU
Chongqing Jiangbei International Airport,충칭 지엥바이 국제공항,CKG,ZUCK
Chongqing Wushan Airport,충칭 우산 공항,WSK,ZUWS
Chongqing Xiannushan Airport,충칭 셴뉘산 공항,CQW,ZUWL
Christchurch International Airport,크라이스트처치 국제공항,CHC,NZCH
Christmas Island Airport,크리스마스아일랜드 공항,XCH,YPXM
Chubu Centrair International Airport ,주부 센트에어 국제공항 ,NGO,RJGG
Chulai Airport,쿨라이 공항,VCL,VVCA
Chumporn Airport,첨폰 공항,CJM,VTSE
Ciampino Airport,챰피노 공항,CIA,LIRA
Cincinnati/Northern Kentucky International Airport,신시내티 노던 켄터키 국제공항,CVG,KCVG
Ciudad del Carmen International Airport,퀴다드델카르멘 국제공항,CME,MMCE
Ciudad Juarez International Airport ,시우다드 후아레스 국제공항 ,CJS,MMCS
Ciudad Obregon International Airport ,치우다드오브레곤 국제공항 ,CEN,MMCN
Clark Field Airport,클라 필드 공항,CRK,RPLC
Clermont-Ferrand Auvergne Airport,클레몽 페랑 오베뉴 공항,CFE,LFLC
Cleveland Burke Lakefront Airport,클리블랜드 버크 레이크프런트 공항,BKL,KBKL
Cleveland Hopkins International Airport,클리블랜드 홉킨스 국제공항,CLE,KCLE
Cloncurry Airport,클론커리 공항,CNJ,YCCY
Coata Smeralda Airport,코아타 스메랄다 공항,OLB,LIEO
Cochin International Airport ,코친 국제공항,COK,VOCI
Cocos Island International Airport,코코스 킬링 아일랜드 국제공항,CCK,YPCC
Coffs Harbour Airport,코프스하버 공항,CFS,YSCH
Cognac - Chateaubernard Airport,코냐크 샤토버나드 공항,CNG,LFBG
Colima Airport,콜리마 공항,CLQ,MMIA
Colmar-Houssen Airport,콜마르 후센 공항,CMR,LFGA
Cologne Bonn Airport,쾰른 본 공항,CGN,EDDK
Colorado Springs Airport ,콜로라도스프링스 시공항 ,COS,KCOS
Columbia Metropolitan Airport,컬럼비아 메트로폴리탄 공항,CAE,KCAE
Comalapa International Airport ,코말라파 국제공항 ,SAL,MSLP
Comandante Armando Tola International Airport,Comandante Armando Tola 국제 공항,FTE,SAWA
Comandante Espora Airport,코망단트 에스포라 공항,BHI,SAZB
Comandante FAP German Arias Graziani Airport,코만단테 FAP 제르망 아리아즈 그라지아니 공항,ATA,SPHZ
Comandante FAP Guillermo del Castillo Paredes Airport,코만단테 FAP 길레르모 델 카스틸로 페레데 공항,TPP,SPST
Comandante Gustavo Kraemer Airport,코만단테 구스타보 크라이머 공항,BGX,SBBG
Comodoro Ricardo Salomon Airport,코모도로 리카르도 살로몬 공항,LGS,SAMM
Comox Airport,코목스 공항,YQQ,CYQQ
Conakry International Airport ,코나크리 국제공항,CKY,GUCY
Concord Regional Airport,콩코드 지역 공항,USA,KJQF
Congonhas Airport,콩곤하스 공항,CGH,SBSP
Connellan Airport,코넬런 공항,AYQ,YAYE
Constanta Mihail Kogalniceanu International Airport,콘스탄짜 미하일 코갈니쵸누 국제공항,CND,LRCK
Contador Airport,Contador 공항,PTX,SKPI
Coober Pedy Airport,쿠버페디 공항,CPD,YCBP
Cooktown Airport,쿡타운 공항,CTN,YCKN
Coolangatta Airport,쿨랑가타 공항,OOL,YBCG
Coong Airport,쿠웅 공항,VCS,VVCS
Copenhagen Airport,코펜하겐 지역공항 ,CPH,EKCH
Cordoba Airport,코르도바 공항,ODB,LEBA
Corfu International Airport ,코르푸 국제공항 ,CFU,LGKR
Cork International Airport,코크 국제공항,ORK,EICK
Corlu Airport ,코르루 공항 ,TEQ,LTBU
Cornel Ruiz Airport,커널 루이즈 공항,CIX,SPHI
Coronel FAP Carlos Ciriani Santa Rosa Airport,카피탄 FAP 카를로스 치리아니 산타 로사 공항,TCQ,SPTN
Coronel Felipe Varela Airport,커널 펠리페 바렐라 공항,CTC,SANC
Coronel Francisco Secada Airport,콜로널 프란치스코 세카다 공항,IQT,SPQT
Corpus Christi International Airport,코퍼스크리스티 국제공항,CRP,KCRP
Corrado Baccarini Airport,코라도 바카리니 공항,GRS,LIRS
Corrado Gex Airport,코래도 젝스 공항,AOT,LIMW
Corumba International Airport,코룸바 국제공항,CMG,SBCR
Corvo Airport,코보 공항,CVU,LPCR
Cote d Azur Airport,코트 다쥐르 공항,NCE,LFMN
Cotopaxi International Airport,Cotopaxi 국제공항,LTX,SELT
Cozumel International Airport,코즈멜 국제공항,CZM,MMCZ
Craiova Airport,크라이오바 공항,CRA,LRCV
Cranbrook / Canadian Rockies International Airport,크랜브룩 캐나디안 록키 국제공항,YXC,CYXC
Cristoforo Colombo Airport ,크리스토포로 콜롬보 공항 ,GOA,LIMJ
Crotone Airport ,코로톤 공항,CRV,LIBC
Crown Point International Airport,크라운 포인트 국제공항,TAB,TTCP
Cruzeiro do Sul International Airport,크루제이루도술 공항,CZS,SBCZ
Cubatao Airport,쿠바타오 공항,JOI,SBJV
Cuddapah Airport,쿠다파 공항,CDP,VOCP
Cuyo Airport,쿠요 공항,CYU,RPLO
D.Z. Romualdez Airport,D.Z 로무알데즈 공항,TAC,RPVA
Da Nang International Airport,다낭 국제공항,DAD,VVDN
Dabolim Airport,다보림 공항,GOI,VAGO
Daegu International Airport,대구 국제공항,TAE,RKTN
Daguocun Airport,다구오쿤 공항,SJW,ZBSJ
Dakhla Airport,다클라 공항,VIL,GMMH
Dala Airport,달라 공항,BLE,ESSD
Dalaman Airport,달라만 공항,DLM,LTBS
Dalbandin Airport,달반딘 공항,DBA,OPDB
Dali Airport,달리 공항,DLU,ZPDL
Dalian Zhoushuizi International Airport,다롄 쩌우쉬이지 국제공항,DLC,ZYTL
Dallas Fort Worth International Airport,달라스 포츠워스 국제공항,DFW,KDFW
Dallas Love Field,댈러스 러브필드,DAL,KDAL
Dalma Airport,달마 공항,ZDY,OM이
Dandong Airport,단둥 공항,DDG,ZYDD
Dane County Regional Airport,데인 카운티 공항,MSN,KMSN
Daniel Jurkic Airport,다니엘 후르킥 공항,RCQ,SATR
Daniel Oduber International Airport,대니얼 오두버 국제공항,LIR,MRLB
Daocheng Yading Airport,대청 야딩 공항,DCY,ZUDC
